Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
TX PB24 HHZ 00,0.02345152448,223.8660953,P,2022-11-16T21:32:46.157Z,manual,-0.03648824508,1.245844371
4O WB03 HHN 00,0.03651137465,135.827024,P,2022-11-16T21:32:46.256Z,manual,-0.04800092438,1.230866736
TX PB34 HHZ 00,0.05202981106,320.5225295,P,2022-11-16T21:32:46.649Z,manual,0.1767528044,0.9235935826
TX PB34 HH1 00,0.05202981106,320.5225295,S,2022-11-16T21:32:47.948Z,manual,-0.01797428259,1.001004023
TX PB20 HHN 00,0.05442637709,261.0899022,P,2022-11-16T21:32:46.573Z,manual,0.05683002911,1.232799673
TX PB40 HNZ 00,0.05553466475,84.77310787,P,2022-11-16T21:32:46.536Z,manual,0.02816460612,1.262349847
TX PB40 HN2 00,0.05553466475,84.77310787,S,2022-11-16T21:32:47.826Z,manual,-0.2025323301,0.7898652033
TX PB23 HHN 00,0.06873102299,293.6520466,P,2022-11-16T21:32:46.806Z,manual,0.09318948877,1.166026176
TX PB23 HHE 00,0.06873102299,293.6520466,S,2022-11-16T21:32:48.307Z,manual,-0.07912815783,1.173799933
TX PB25 HHN 00,0.08122707231,228.8291483,P,2022-11-16T21:32:46.919Z,manual,0.001926146611,1.269744759
TX PB31 HH1 00,0.09946870646,344.4484955,P,2022-11-16T21:32:47.349Z,manual,0.1557468939,0.9925355677
4O WB01 HHZ 00,0.09994640016,328.6132401,P,2022-11-16T21:32:47.360Z,manual,0.1543081093,0.8761622957
4O WB01 HHN 00,0.09994640016,328.6132401,S,2022-11-16T21:32:49.277Z,manual,0.02776428281,1.002165365
4O WB02 HHN 00,0.1097855479,24.93790857,P,2022-11-16T21:32:47.517Z,manual,0.1370960715,1.050212931
TX PB33 HNZ 00,0.1123886009,205.0513223,P,2022-11-16T21:32:47.395Z,manual,-0.04855038058,1.230065609
TX PB33 HN2 00,0.1123886009,205.0513223,S,2022-11-16T21:32:49.778Z,manual,0.1122460104,1.118422886
4O WB04 HHN 00,0.114177377,158.9798967,P,2022-11-16T21:32:47.398Z,manual,-0.06737632851,1.198055333
TX PB43 HNZ 00,0.1221260299,69.4140313,P,2022-11-16T21:32:47.684Z,manual,0.09111202861,1.170635215
TX PB43 HN2 00,0.1221260299,69.4140313,S,2022-11-16T21:32:50.586Z,manual,0.6583655058,
TX PB13 HHN 01,0.1545129781,122.5413655,P,2022-11-16T21:32:48.230Z,manual,0.02710291317,1.263020769
TX PB13 HHN 01,0.1545129781,122.5413655,S,2022-11-16T21:32:51.057Z,manual,0.06302936975,0.9752103084
4O SA06 HHZ 00,0.1762233021,313.3900991,P,2022-11-16T21:32:48.697Z,manual,0.0699025821,0.9799628791
4O SA06 HHE 00,0.1762233021,313.3900991,S,2022-11-16T21:32:51.101Z,manual,-0.6361252515,
4O WB05 HHZ 00,0.1836456002,50.50793085,P,2022-11-16T21:32:48.891Z,manual,0.169116343,0.8513160003
4O WB05 HHN 00,0.1836456002,50.50793085,S,2022-11-16T21:32:52.075Z,manual,0.1732865526,0.7093860465
4O CV01 HHN,0.2273640798,340.5216767,P,2022-11-16T21:32:49.498Z,manual,-0.07042877044,1.191162887
4O CV01 HHE,0.2273640798,340.5216767,S,2022-11-16T21:32:53.107Z,manual,-0.2775805784,
4O SA02 HHZ 00,0.2295749498,279.0456291,P,2022-11-16T21:32:49.725Z,manual,0.08240049835,0.7767698517
4O SA02 HHE 00,0.2295749498,279.0456291,S,2022-11-16T21:32:52.774Z,manual,-0.7410304915,
4O SA04 HHN 00,0.2485396667,298.9960161,P,2022-11-16T21:32:49.922Z,manual,-0.06822705621,1.190912669
4O SA04 HHN 00,0.2485396667,298.9960161,S,2022-11-16T21:32:53.504Z,manual,-0.6181800209,
TX PB07 HNZ 00,0.2880350502,101.6458459,P,2022-11-16T21:32:50.722Z,manual,0.0449205902,0.98787902
TX PB07 HN2 00,0.2880350502,101.6458459,S,2022-11-16T21:32:55.541Z,manual,0.2175206356,0.7438256294
TX PECS HH1 00,0.2894799386,157.3088203,P,2022-11-16T21:32:50.323Z,manual,-0.3936884181,
TX PECS HH1 00,0.2894799386,157.3088203,S,2022-11-16T21:32:54.393Z,manual,-1.001496503,
4O CT01 HHZ,0.2940766591,335.3040824,P,2022-11-16T21:32:50.647Z,manual,-0.174538084,
4O CT01 HHE,0.2940766591,335.3040824,S,2022-11-16T21:32:55.235Z,manual,-0.341939286,
TX PB11 HH1 00,0.30076649,354.4987141,P,2022-11-16T21:32:50.746Z,manual,-0.1832168478,
TX PB11 HH2 00,0.30076649,354.4987141,S,2022-11-16T21:32:55.771Z,manual,0.006012002967,0.9474917792
4O WB12 HHN 00,0.3292813824,37.50801486,P,2022-11-16T21:32:51.437Z,manual,-0.02073126258,1.232055425
4O WB12 HHN 00,0.3292813824,37.50801486,S,2022-11-16T21:32:57.420Z,manual,0.730621682,
TX PB42 HHN 00,0.3313377372,67.39702014,P,2022-11-16T21:32:51.606Z,manual,0.1226399137,1.076326191
TX PB42 HHE 00,0.3313377372,67.39702014,S,2022-11-16T21:32:56.909Z,manual,0.1739906311,0.8056784117
4O WB11 HHE 00,0.3368589945,30.27372744,P,2022-11-16T21:32:51.584Z,manual,-0.01947494107,1.230467495
4O WB11 HHE 00,0.3368589945,30.27372744,S,2022-11-16T21:32:58.706Z,manual,1.760261162,
4O CT02 HHN,0.337543089,342.082456,P,2022-11-16T21:32:51.366Z,manual,-0.2614763441,
4O CT02 HHN,0.337543089,342.082456,S,2022-11-16T21:32:56.687Z,manual,-0.3003198659,
TX PB36 HN1 00,0.3667703823,277.171844,P,2022-11-16T21:32:52.005Z,manual,-0.2321942477,
TX PB36 HN2 00,0.3667703823,277.171844,S,2022-11-16T21:32:56.977Z,manual,-1.076563304,
4O WB09 HHE 00,0.3673737909,27.11868045,P,2022-11-16T21:32:52.195Z,manual,0.01669843685,1.226781608
4O WB09 HHE 00,0.3673737909,27.11868045,S,2022-11-16T21:32:59.785Z,manual,1.833968345,
TX PB35 HH2 00,0.369954708,273.3612114,P,2022-11-16T21:32:52.027Z,manual,-0.2706330539,
TX PB35 HH1 00,0.369954708,273.3612114,S,2022-11-16T21:32:56.509Z,manual,-1.652062349,
GM NMP11 HHE 01,0.3749718621,8.991273174,P,2022-11-16T21:32:52.261Z,manual,-0.05278373579,1.184548475
GM NMP11 HHE 01,0.3749718621,8.991273174,S,2022-11-16T21:32:58.218Z,manual,0.02874052917,0.9158117675
TX PB38 HH2 00,0.3763898323,284.6630917,P,2022-11-16T21:32:52.162Z,manual,-0.2599838735,
TX PB38 HH1 00,0.3763898323,284.6630917,S,2022-11-16T21:32:57.236Z,manual,-1.142357174,
4O WB10 HHE 00,0.3769795666,38.87077318,P,2022-11-16T21:32:52.367Z,manual,0.009112625407,1.224985864
4O WB10 HHN 00,0.3769795666,38.87077318,S,2022-11-16T21:32:59.161Z,manual,0.8944543156,
4O SA07 HHE 00,0.3870923724,306.6757199,P,2022-11-16T21:32:52.230Z,manual,-0.3618665702,
4O SA07 HHE 00,0.3870923724,306.6757199,S,2022-11-16T21:32:57.389Z,manual,-1.28684367,
TX PB10 HH1 00,0.4106894349,149.6311203,P,2022-11-16T21:32:52.673Z,manual,-0.3054726966,
TX PB10 HH1 00,0.4106894349,149.6311203,S,2022-11-16T21:32:58.720Z,manual,-0.6322191986,
TX PB12 HHN 00,0.4256101256,175.484673,P,2022-11-16T21:32:52.888Z,manual,-0.4059632931,
TX PB12 HHE 00,0.4256101256,175.484673,S,2022-11-16T21:32:58.733Z,manual,-1.171546046,
TX PB28 HHZ 00,0.4292169728,274.6230519,P,2022-11-16T21:32:53.132Z,manual,-0.2739291123,
TX PB28 HH2 00,0.4292169728,274.6230519,S,2022-11-16T21:32:59.026Z,manual,-1.074087214,
4O WB06 HHE 00,0.4329661882,33.5558089,P,2022-11-16T21:32:53.330Z,manual,-0.08797198086,1.106863592
TX DG07 CHZ 00,0.4421683437,114.7184316,P,2022-11-16T21:32:53.756Z,manual,0.2013714857,0.7792584495
TX DG07 CH1 00,0.4421683437,114.7184316,S,2022-11-16T21:33:00.410Z,manual,0.0495881889,0.7303527392
4O SA09 HHN 00,0.4546293402,323.4357129,P,2022-11-16T21:32:53.260Z,manual,-0.5925287396,
TX PB29 HH2 00,0.4546590154,285.2039322,P,2022-11-16T21:32:53.422Z,manual,-0.4699734103,
TX DG02 CH2 00,0.4548760947,121.3101983,P,2022-11-16T21:32:53.826Z,manual,0.03041140548,0.9659311943
TX DG02 CH1 00,0.4548760947,121.3101983,S,2022-11-16T21:33:00.268Z,manual,-0.5145353243,
GM NMP31 HHN 01,0.4586819082,29.50511714,P,2022-11-16T21:32:53.817Z,manual,-0.08918370382,1.097296229
TX PB37 HH2 00,0.4588507684,280.6478966,P,2022-11-16T21:32:53.607Z,manual,-0.368789471,
TX PB37 HH1 00,0.4588507684,280.6478966,S,2022-11-16T21:32:59.905Z,manual,-1.191958643,
GM NMP02 HHN 01,0.4682437261,14.65028508,P,2022-11-16T21:32:53.965Z,manual,-0.125471782,1.01292249
TX PCOS HHN 00,0.4755707842,118.7803512,P,2022-11-16T21:32:54.258Z,manual,0.0771454498,0.9379914005
TX PCOS HHE 00,0.4755707842,118.7803512,S,2022-11-16T21:33:01.245Z,manual,-0.2109771772,0.6242999354
TX DG09 CH2 00,0.49244757,122.6568187,P,2022-11-16T21:32:54.530Z,manual,0.03098179533,0.9584865258
GM NMP12 HHN 01,0.4931506059,4.788517721,P,2022-11-16T21:32:54.335Z,manual,-0.2133103617,0.7597295903
TX DG06 CH2 00,0.4932828739,117.1958352,P,2022-11-16T21:32:54.606Z,manual,0.09308756722,0.9215535744
TX DG06 CH2 00,0.4932828739,117.1958352,S,2022-11-16T21:33:01.789Z,manual,-0.2476545206,0.5888862895
GM NMP41 HHN 01,0.5033884852,42.98725227,P,2022-11-16T21:32:54.500Z,manual,-0.2422632456,
GM NMP41 HHE 01,0.5033884852,42.98725227,S,2022-11-16T21:33:01.800Z,manual,-0.6388785779,
TX DG08 CH1 00,0.5048801691,152.4515032,P,2022-11-16T21:32:54.283Z,manual,-0.4726831946,
TX DG08 CH1 00,0.5048801691,152.4515032,S,2022-11-16T21:33:01.328Z,manual,-1.133568566,
TX DG03 CH2 00,0.5048911493,119.5868922,P,2022-11-16T21:32:54.794Z,manual,0.0531248487,0.9474914991
TX DG03 CH2 00,0.5048911493,119.5868922,S,2022-11-16T21:33:02.019Z,manual,-0.4175266671,
4O LWM2 HHZ 0K,0.5101243886,136.2029496,P,2022-11-16T21:32:54.659Z,manual,-0.1756757063,0.7916265968
4O LWM2 HHE 0K,0.5101243886,136.2029496,S,2022-11-16T21:33:02.068Z,manual,-0.5325629428,
4O LWM1 HHZ 0K,0.5141647447,142.324561,P,2022-11-16T21:32:54.694Z,manual,-0.2205056102,0.7127222459
4O LWM1 HHE 0K,0.5141647447,142.324561,S,2022-11-16T21:33:02.195Z,manual,-0.5449458613,
SC PDB HHN 00,0.5543872717,38.23757938,P,2022-11-16T21:32:55.459Z,manual,-0.2562345191,
SC PDB HHE 00,0.5543872717,38.23757938,S,2022-11-16T21:33:03.768Z,manual,-0.3728774883,
GM NMP23 HHZ 01,0.5567573036,17.58941913,P,2022-11-16T21:32:55.528Z,manual,-0.2370754947,
GM NMP23 HHE 01,0.5567573036,17.58941913,S,2022-11-16T21:33:04.189Z,manual,-0.03960146361,0.6997124295
GM NMP01 HHN 01,0.5810370843,11.87053588,P,2022-11-16T21:32:55.932Z,manual,-0.2886218026,
TX DG04 CH1 00,0.6110330187,125.025231,S,2022-11-16T21:33:04.834Z,manual,-1.075925311,
GM NMP51 HHN 01,0.613983072,53.21059402,P,2022-11-16T21:32:56.530Z,manual,-0.2930270651,
GM NMP51 HHN 01,0.613983072,53.21059402,S,2022-11-16T21:33:05.178Z,manual,-0.9012478082,
SC CL2B EH? 00,0.63676089,9.430715816,P,2022-11-16T21:32:56.992Z,manual,-0.5209884481,
SC GDL2 HHN 00,0.6445821914,331.5539008,P,2022-11-16T21:32:56.698Z,manual,-0.7528582727,
4O PL01 HHN 00,0.6516241602,56.66758051,P,2022-11-16T21:32:57.203Z,manual,-0.3208085069,
GM NMP44 HHN 01,0.6542330558,29.719911,P,2022-11-16T21:32:57.235Z,manual,-0.3687936719,
TX PB06 HHZ 00,0.6657049965,89.12392521,P,2022-11-16T21:32:57.574Z,manual,-0.1868519873,0.8255633232
TX PB06 HH1 00,0.6657049965,89.12392521,S,2022-11-16T21:33:06.186Z,manual,-1.535557459,
TX PB30 HHZ 00,0.6790601459,121.7639879,P,2022-11-16T21:32:57.975Z,manual,-0.03542309012,1.091569313
TX PB30 HHN 00,0.6790601459,121.7639879,S,2022-11-16T21:33:07.203Z,manual,-0.9554084788,
TX PB03 HHZ 00,0.6919191011,143.2789943,P,2022-11-16T21:32:57.889Z,manual,-0.3707963675,
TX PB03 HH1 00,0.6919191011,143.2789943,S,2022-11-16T21:33:07.303Z,manual,-1.291722763,
TX PB05 HHZ 00,0.9212758196,141.2690942,P,2022-11-16T21:33:01.729Z,manual,-0.7619020893,
TX PB05 HH1 00,0.9212758196,141.2690942,S,2022-11-16T21:33:14.327Z,manual,-1.673355182,
4O DB03 HHZ,0.9444318461,123.4998097,P,2022-11-16T21:33:02.281Z,manual,-0.6061937544,
4O DB03 HHE,0.9444318461,123.4998097,S,2022-11-16T21:33:15.457Z,manual,-1.237554009,
TX PB22 HHZ 00,0.9486455017,116.6374362,P,2022-11-16T21:33:01.373Z,manual,-1.5850591,
TX PB22 HH1 00,0.9486455017,116.6374362,S,2022-11-16T21:33:15.295Z,manual,-1.522783098,
4O DB04 HHZ,0.9541560896,126.7764126,P,2022-11-16T21:33:02.442Z,manual,-0.6302403846,
TX PECS HN1 00,0.2890401341,157.0836592,P,2022-11-16T21:32:50.399Z,manual,,0
TX PECS HN1 00,0.2890401341,157.0836592,S,2022-11-16T21:32:54.676Z,manual,,0
TX PB11 HNZ 00,0.3002904793,354.2692406,P,2022-11-16T21:32:50.899Z,manual,,0
TX PB11 HN2 00,0.3002904793,354.2692406,S,2022-11-16T21:32:55.525Z,manual,,0