pick_id,timestamp,prob,type,network,station,location,instrument_type,author,creation_time,event_start_time,event_end_time,detection_probability,snr,station_lat,station_lon,station_elv,file_name,id,event_idx,prob_gamma
20221116.213015.83-P-TX.PB28.00.HH,2022-11-16 21:30:15.830,0.87,P,TX,PB28,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:30:15.770,2022-11-16 21:30:17.490,0.92,28.1,31.66864,-104.50077,1204.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB28/TX.PB28.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB28,1,0.13408978711474756
20221116.213015.97-P-TX.PB37.00.HH,2022-11-16 21:30:15.970,0.86,P,TX,PB37,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:30:15.850,2022-11-16 21:30:17.850,0.93,38.3,31.71847,-104.528416,1263.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB37/TX.PB37.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB37,1,0.13239993182287418
20221116.213016.59-P-TX.PB29.00.HH,2022-11-16 21:30:16.590,0.83,P,TX,PB29,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:30:16.550,2022-11-16 21:30:18.910,0.93,21.1,31.75299,-104.514453,1242.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB29/TX.PB29.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB29,1,0.12778535599418522
20221116.213016.68-P-TX.PB35.00.HH,2022-11-16 21:30:16.680,0.78,P,TX,PB35,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:30:16.600,2022-11-16 21:30:19.230,0.87,22.3,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB35/TX.PB35.00.HH1__20221116T213000Z__20221116T213500Z.mseed,TX.PB35,1,0.12020630716548289
20221116.213016.80-P-TX.PB36.00.HH,2022-11-16 21:30:16.800,0.75,P,TX,PB36,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:30:16.730,2022-11-16 21:30:19.430,0.93,14.4,31.680262,-104.425899,1218.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB36/TX.PB36.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB36,1,0.1340762300655038
20221116.213016.97-S-TX.PB28.00.HH,2022-11-16 21:30:16.970,0.83,S,TX,PB28,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:30:15.770,2022-11-16 21:30:17.490,0.92,12.7,31.66864,-104.50077,1204.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB28/TX.PB28.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB28,1,0.1155985715588204
20221116.213017.08-P-TX.PB38.00.HH,2022-11-16 21:30:17.080,0.73,P,TX,PB38,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:30:16.910,2022-11-16 21:30:20.060,0.85,12.4,31.72972,-104.426634,1240.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB38/TX.PB38.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB38,1,0.12790371751061008
20221116.213017.28-S-TX.PB37.00.HH,2022-11-16 21:30:17.280,0.83,S,TX,PB37,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:30:15.850,2022-11-16 21:30:17.850,0.93,15.0,31.71847,-104.528416,1263.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB37/TX.PB37.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB37,1,0.11249705614544647
20221116.213018.20-S-TX.PB29.00.HH,2022-11-16 21:30:18.200,0.8,S,TX,PB29,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:30:16.550,2022-11-16 21:30:18.910,0.93,9.6,31.75299,-104.514453,1242.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB29/TX.PB29.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB29,1,0.12783020661921912
20221116.213018.45-S-TX.PB35.00.HH,2022-11-16 21:30:18.450,0.75,S,TX,PB35,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:30:16.670,2022-11-16 21:30:19.230,0.93,6.7,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB35/TX.PB35.00.HHZ__20221116T213000Z__20221116T213459Z.mseed,TX.PB35,1,0.12331036885029124
20221116.213018.66-S-TX.PB36.00.HH,2022-11-16 21:30:18.660,0.8,S,TX,PB36,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:30:16.730,2022-11-16 21:30:19.430,0.93,6.4,31.680262,-104.425899,1218.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB36/TX.PB36.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB36,1,0.09384477659901674
20221116.213019.12-S-TX.PB38.00.HH,2022-11-16 21:30:19.120,0.7,S,TX,PB38,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:30:16.910,2022-11-16 21:30:20.060,0.85,9.2,31.72972,-104.426634,1240.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB38/TX.PB38.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB38,1,0.11560364753774774
20221116.213026.95-S-TX.PB26.00.HH,2022-11-16 21:30:26.953,0.08,S,TX,PB26,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:30:14.493,2022-11-16 21:30:34.183,0.15,6.9,31.57819,-104.12579,1065.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB26/TX.PB26.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB26,1,0.12329076465868703
20221116.213246.11-P-TX.PB24.00.HH,2022-11-16 21:32:46.115,0.34,P,TX,PB24,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:32:45.975,2022-11-16 21:32:47.555,0.26,22.2,31.61979,-104.01776,997.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB24/TX.PB24.00.HHE__20221116T213000Z__20221116T213459Z.mseed,TX.PB24,2,0.13408978711474756
20221116.213246.42-P-TX.PB40.00.HH,2022-11-16 21:32:46.420,0.07,P,TX,PB40,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:32:46.720,2022-11-16 21:32:47.110,0.1,48.0,31.6419935,-103.9339588,935.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB40/TX.PB40.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB40,2,0.13239993182287418
20221116.213246.63-P-TX.PB34.00.HH,2022-11-16 21:32:46.630,0.09,P,TX,PB34,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:32:46.800,2022-11-16 21:32:49.040,0.2,37.0,31.676667,-104.037778,969.3,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB34/TX.PB34.00.HH1__20221116T213000Z__20221116T213500Z.mseed,TX.PB34,2,0.12778535599418522
20221116.213246.89-P-TX.PB23.00.HH,2022-11-16 21:32:46.899,0.8,P,TX,PB23,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:32:46.779,2022-11-16 21:32:49.019,0.86,33.1,31.66404,-104.07276,1005.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB23/TX.PB23.00.HHN__20221116T212959Z__20221116T213459Z.mseed,TX.PB23,2,0.12020630716548289
20221116.213247.33-S-TX.PB24.00.HH,2022-11-16 21:32:47.335,0.2,S,TX,PB24,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:32:45.975,2022-11-16 21:32:47.555,0.26,13.2,31.61979,-104.01776,997.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB24/TX.PB24.00.HHE__20221116T213000Z__20221116T213459Z.mseed,TX.PB24,2,0.1340762300655038
20221116.213247.37-P-TX.PB33.00.HH,2022-11-16 21:32:47.370,0.56,P,TX,PB33,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:32:47.200,2022-11-16 21:32:50.750,0.62,35.1,31.534929,-104.054045,1006.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB33/TX.PB33.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB33,2,0.1155985715588204
20221116.213248.09-S-TX.PB34.00.HH,2022-11-16 21:32:48.090,0.06,S,TX,PB34,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:32:46.800,2022-11-16 21:32:49.040,0.2,12.5,31.676667,-104.037778,969.3,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB34/TX.PB34.00.HH1__20221116T213000Z__20221116T213500Z.mseed,TX.PB34,2,0.12790371751061008
20221116.213248.32-S-TX.PB23.00.HH,2022-11-16 21:32:48.329,0.67,S,TX,PB23,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:32:46.779,2022-11-16 21:32:49.019,0.86,16.1,31.66404,-104.07276,1005.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB23/TX.PB23.00.HHN__20221116T212959Z__20221116T213459Z.mseed,TX.PB23,2,0.11249705614544647
20221116.213248.33-S-TX.PB43.00.HH,2022-11-16 21:32:48.330,0.17,S,TX,PB43,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:32:48.000,2022-11-16 21:32:48.590,0.15,-2.9,31.680019,-103.864872,896.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB43/TX.PB43.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB43,2,0.12783020661921912
20221116.213248.39-P-TX.PB13.01.HH,2022-11-16 21:32:48.390,0.27,P,TX,PB13,01,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:32:48.140,2022-11-16 21:32:51.810,0.24,47.5,31.5542,-103.8458,956.1,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB13/TX.PB13.01.HHN__20221116T213000Z__20221116T213500Z.mseed,TX.PB13,2,0.12331036885029124
20221116.213249.78-S-TX.PB33.00.HH,2022-11-16 21:32:49.780,0.53,S,TX,PB33,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:32:47.200,2022-11-16 21:32:50.750,0.62,10.3,31.534929,-104.054045,1006.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB33/TX.PB33.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB33,2,0.09384477659901674
20221116.213250.03-S-TX.PB26.00.HH,2022-11-16 21:32:50.033,0.05,S,TX,PB26,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:32:49.333,2022-11-16 21:32:50.653,0.14,10.8,31.57819,-104.12579,1065.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB26/TX.PB26.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB26,2,0.11560364753774774
20221116.213251.11-S-TX.PB13.01.HH,2022-11-16 21:32:51.110,0.33,S,TX,PB13,01,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:32:48.140,2022-11-16 21:32:51.810,0.24,9.0,31.5542,-103.8458,956.1,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB13/TX.PB13.01.HHN__20221116T213000Z__20221116T213500Z.mseed,TX.PB13,2,0.12329076465868703
20221116.213252.00-P-TX.PB38.00.HH,2022-11-16 21:32:52.000,0.9,P,TX,PB38,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:32:51.940,2022-11-16 21:33:00.000,0.91,33.4,31.72972,-104.426634,1240.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB38/TX.PB38.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB38,2,0.10781279071852262
20221116.213252.00-P-TX.PB36.00.HH,2022-11-16 21:32:52.000,0.91,P,TX,PB36,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:32:51.910,2022-11-16 21:32:59.780,0.85,29.7,31.680262,-104.425899,1218.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB36/TX.PB36.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB36,2,0.01230849247620141
20221116.213252.00-P-TX.PB35.00.HH,2022-11-16 21:32:52.000,0.9,P,TX,PB35,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:32:51.890,2022-11-16 21:32:59.350,0.88,41.3,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB35/TX.PB35.00.HH1__20221116T213000Z__20221116T213500Z.mseed,TX.PB35,2,0.00045282458087714597
20221116.213253.00-P-TX.PB28.00.HH,2022-11-16 21:32:53.000,0.92,P,TX,PB28,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:32:52.940,2022-11-16 21:33:02.210,0.93,35.5,31.66864,-104.50077,1204.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB28/TX.PB28.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB28,2,0.0007698017709673361
20221116.213254.00-P-TX.PB29.00.HH,2022-11-16 21:32:54.000,0.85,P,TX,PB29,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:32:53.770,2022-11-16 21:33:03.230,0.9,20.7,31.75299,-104.514453,1242.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB29/TX.PB29.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB29,2,0.0540179165148956
20221116.213254.01-P-TX.PB37.00.HH,2022-11-16 21:32:54.010,0.85,P,TX,PB37,00,HH,EQTransformer,2024-09-11 13:20:26.686911,2022-11-16 21:32:53.850,2022-11-16 21:33:02.950,0.9,21.9,31.71847,-104.528416,1263.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB37/TX.PB37.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB37,2,0.01195367716469985
20221116.213256.02-S-TX.PB35.00.HH,2022-11-16 21:32:56.020,0.07,S,TX,PB35,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:32:51.890,2022-11-16 21:32:59.350,0.88,7.0,31.656187,-104.43203,1224.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB35/TX.PB35.00.HH1__20221116T213000Z__20221116T213500Z.mseed,TX.PB35,2,0.014783517778090902
20221116.213256.51-S-TX.PB36.00.HH,2022-11-16 21:32:56.510,0.11,S,TX,PB36,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:32:51.910,2022-11-16 21:32:59.780,0.85,2.6,31.680262,-104.425899,1218.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB36/TX.PB36.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB36,2,0.13239858885257583
20221116.213257.20-S-TX.PB38.00.HH,2022-11-16 21:32:57.200,0.32,S,TX,PB38,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:32:51.940,2022-11-16 21:33:00.000,0.91,5.8,31.72972,-104.426634,1240.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB38/TX.PB38.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB38,2,0.032572943270666246
20221116.213259.36-S-TX.PB28.00.HH,2022-11-16 21:32:59.360,0.39,S,TX,PB28,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:32:52.940,2022-11-16 21:33:02.210,0.93,6.9,31.66864,-104.50077,1204.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB28/TX.PB28.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB28,2,0.08923715431691505
20221116.213259.94-S-TX.PB37.00.HH,2022-11-16 21:32:59.940,0.36,S,TX,PB37,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:32:53.850,2022-11-16 21:33:02.950,0.9,3.1,31.71847,-104.528416,1263.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB37/TX.PB37.00.HHZ__20221116T213000Z__20221116T213500Z.mseed,TX.PB37,2,0.00808371759290535
20221116.213300.08-S-TX.PB29.00.HH,2022-11-16 21:33:00.080,0.35,S,TX,PB29,00,HH,EQTransformer,2024-09-11 13:20:26.690833,2022-11-16 21:32:53.770,2022-11-16 21:33:03.230,0.9,3.3,31.75299,-104.514453,1242.0,/home/emmanuel/ecastillo/dev/delaware/monitor/downloads/PB29/TX.PB29.00.HH2__20221116T213000Z__20221116T213500Z.mseed,TX.PB29,2,0.1089316205185103
